year,month,on_time,delayed_flights,flights
2005,1,0.7591015980219289,143316,594923
2005,2,0.7948094005119817,111897,545332
2005,3,0.7872461702885643,131384,617540
2005,4,0.8483797931679484,90137,594492
2005,5,0.8477249586045589,93619,614802
2005,6,0.7706120371966283,139742,609195
2005,7,0.7344309598844514,166767,627961
2005,8,0.7758280182087924,141431,630904
2005,9,0.8480896051043704,87235,574253
2005,10,0.8314459636383269,99904,592712
2005,11,0.811807368521456,106543,566138
2005,12,0.7307733299787016,154090,572343
2006,1,0.8068097170588711,112299,581287
2006,2,0.7767328568443681,118610,531247
2006,3,0.7754573979250418,135897,605217
2006,4,0.7971900620311574,118715,585351
2006,5,0.7965016859644496,122693,602919
2006,6,0.7481544002741032,150683,598315
2006,7,0.7573079176619815,150771,621244
2006,8,0.7760826552489772,140784,628732
2006,9,0.7813439737954686,127900,584937
2006,10,0.7497752232237731,153067,611718
2006,11,0.7833663427141387,126990,586197
2006,12,0.7401803696685285,157128,604758
2007,1,0.7584396654219471,150144,621559
2007,2,0.7198835227473639,158435,565604
2007,3,0.761128206893207,152689,639209
2007,4,0.7771228410407257,136991,614648
2007,5,0.7921213915571184,131298,631609
2007,6,0.7115719552504449,181502,629280
2007,7,0.721970210928827,180319,648560
2007,8,0.7384716177927042,170851,653279
2007,9,0.8294148323772425,102383,600187
2007,10,0.7952720034540122,128977,629992
2007,11,0.8121454385614122,113680,605149
2007,12,0.6807839943411715,196759,616382
2008,1,0.7543478224982377,148807,605763
2008,2,0.7255297058663355,156237,569231
2008,3,0.7445636383409378,157370,616083
2008,4,0.7957470499526855,122169,598126
2008,5,0.8018677468942358,120126,606292
2008,6,0.7301306958671847,164260,608665
2008,7,0.7769659405253124,140050,627931
2008,8,0.803224684252389,120481,612277
2008,9,0.8684632819750566,71149,540906
2008,10,0.8678239138447155,73517,556205
2008,11,0.8434424992021343,81922,523271
2008,12,0.6905309786478174,168647,544956
2009,1,0.795888694567539,108656,532337
2009,2,0.8401199811633668,78087,488410
2009,3,0.8073122600552546,107408,557420
2009,4,0.809069305605141,102681,537792
2009,5,0.8158703221464728,100688,546832
2009,6,0.7796138408949881,122886,557594
2009,7,0.7906876526589592,121429,580133
2009,8,0.8092876838154428,108382,568301
2009,9,0.8693124427427121,66762,510852
2009,10,0.7846009488547365,114549,531799
2009,11,0.8925697688110845,54740,509540
2009,12,0.7505616236734062,132020,529269
2010,1,0.8142451409144394,96928,521806
2010,2,0.8033782497496214,95021,483268
2010,3,0.8169649765776197,100534,549261
2010,4,0.8617422024068162,73184,529330
2010,5,0.8144936775329942,100683,542747
2010,6,0.7824722758960714,120007,551686
2010,7,0.784683630349622,122900,570788
2010,8,0.8285416633726681,97597,569217
2010,9,0.8617429534296255,72738,526107
2010,10,0.848967403458731,82391,545518
2010,11,0.840425797362375,83138,520999
2010,12,0.7594228209321038,129763,539382
2011,1,0.8036448220064725,97078,494400
2011,2,0.7964743202748538,92709,455515
2011,3,0.8072061774830213,101542,526687
2011,4,0.7780617880021459,112528,507024
2011,5,0.7941941407420497,107145,520612
2011,6,0.7897470047504006,111137,528587
2011,7,0.7981097113033563,110478,547218
2011,8,0.8215284370255724,96632,541442
2011,9,0.8491962549336571,73512,487468
2011,10,0.8647508401153857,68219,504395
2011,11,0.8613526064764455,66279,478040
2011,12,0.8529767882596864,72613,493888
2012,1,0.854138682212481,70908,486133
2012,2,0.8730987509304557,58987,464826
2012,3,0.8342190219850161,86476,521628
2012,4,0.87403655451706,63639,505218
2012,5,0.844812055020707,80453,518423
2012,6,0.8203111211482295,94684,526933
2012,7,0.7773085735355355,121396,545131
2012,8,0.8068872932896691,104434,540793
2012,9,0.8427679371030948,77075,490199
2012,10,0.8320342976473739,86545,515254
2012,11,0.8691942312184686,63834,488006
2012,12,0.7840487396250237,106727,494218
2013,1,0.8268759359317317,88210,509519
2013,2,0.8221059891941602,83565,469746
2013,3,0.8157870913541622,101743,552312
2013,4,0.7924916991832481,111306,536393
2013,5,0.8081116648014552,105278,548642
2013,6,0.7406749362934468,143184,552141
2013,7,0.7506066061022737,142559,571623
2013,8,0.7998831097081118,112650,562921
2013,9,0.8489952134376132,77134,510805
2013,10,0.8480640485370154,81338,535344
2013,11,0.8463091302136317,77352,503296
2013,12,0.7194754024759115,144958,516739
2014,1,0.7457479515795139,119994,471949
2014,2,0.7644228312920052,101440,430602
2014,3,0.7969318540486783,102297,503757
2014,4,0.8101216341709083,91806,483499
2014,5,0.7914087942989677,104145,499278
2014,6,0.7419386928814584,129706,502617
2014,7,0.7750902319152204,117151,520880
2014,8,0.7917086214336806,105706,507491
2014,9,0.8270928605356036,81178,469489
2014,10,0.8120510538460441,92285,491011
2014,11,0.816781155449363,84657,462054
2014,12,0.7691388838244447,110163,477183
2015,1,0.7958346011528469,95951,469967
2015,2,0.7782362631089654,95179,429191
2015,3,0.8107279040116119,95452,504311
2015,4,0.8304713377896779,82247,485151
2015,5,0.8196252261098245,89645,496993
2015,6,0.7703062332182966,115742,503897
2015,7,0.7933103906529062,107627,520718
2015,8,0.8156584452418635,94113,510536
2015,9,0.8708215577723004,60061,464946
2015,10,0.8764226137216788,60079,486165
2015,11,0.8491979203839555,70571,467971
2015,12,0.7980677336560733,96772,479230
2016,1,0.841010077900172,70882,445827
2016,2,0.8544902085215705,61680,423889
2016,3,0.8276660224326998,82569,479122
2016,4,0.8557134501657171,66607,461630
2016,5,0.8425018462193183,75498,479358
2016,6,0.7941891201857119,100361,487637
2016,7,0.7739090111193595,113601,502457
2016,8,0.7924719121415399,103421,498347
2016,9,0.8599926133715562,63686,454876
2016,10,0.8657077689335754,63470,472626
2016,11,0.8694476846040919,58871,450938
2016,12,0.775260983885384,103593,460948
2017,1,0.7828993126926316,97699,450017
2017,2,0.843455934833393,64264,410517
2017,3,0.8185866880066803,88638,488597
2017,4,0.8032515603347219,92143,468329
2017,5,0.8012670561295177,96680,486482
2017,6,0.7759930887416897,110719,494266
2017,7,0.7837605830239456,110081,509070
2017,8,0.7948696348914979,104709,510451
2017,9,0.8715695528674168,58914,458723
2017,10,0.856132606357702,69027,479796
2017,11,0.8870491146331045,51298,454162
2017,12,0.8162406695317801,85302,464205
2018,1,0.8349313351234189,81639,494576
2018,2,0.8212147584854268,71284,398713
2018,3,0.8384775526889152,76655,474578
2018,4,0.823686178714095,91232,517441
2018,5,0.8031659516707443,93967,477392
2018,6,0.7825911453456678,104488,480606
2018,7,0.7748056675884041,112955,501589
2018,8,0.7752145802276995,130133,578921
2018,9,0.8378793647108232,94962,585749
2018,10,0.8349994562579837,101657,616101
2018,11,0.8093121884478776,111777,586178
2018,12,0.816984989273241,108682,593842
2019,1,0.8198191718894483,105222,583980
2019,2,0.7759136792116645,119477,533174
2019,3,0.8318593451378957,106277,632072
2019,4,0.8226896701594548,108518,612023
2019,5,0.8015635066547243,126283,636390
2019,6,0.7591327661298809,153358,636691
2019,7,0.7941972204561559,135630,659029
2019,8,0.7975916569090652,133278,658461
2019,9,0.8620942309882026,83568,605979
2019,10,0.8348369689975378,105046,636014
2019,11,0.8578295734273047,85651,602453
2019,12,0.7971356567901905,126945,625763
2020,1,0.8645170956917474,82285,607346
2020,2,0.8526536483093201,84616,574266
2020,3,0.9171270292076313,53720,648221
2020,4,0.9710017518304382,9038,311674
2020,5,0.9567876250935603,7794,180365
2020,6,0.9331825556812036,14949,223729
2020,7,0.9152327677083687,29913,352884
2020,8,0.9231034684137037,28968,376714
2020,9,0.9375438770113841,20195,323347
2020,10,0.9161985311241501,29507,352106
2020,11,0.9247892898016539,27404,364363
2020,12,0.8827758733509803,43532,371357
2021,1,0.9032698075411977,34961,361428
2021,2,0.8628641725770455,45593,332466
2021,3,0.8995603812129339,44643,444476
2021,4,0.8941897802444095,47682,450637
2021,5,0.867608123597501,65606,495544
2021,6,0.7664175169009236,127565,546124
2021,7,0.7546145959421046,143123,583258
2021,8,0.7800559067231374,127387,579179
2021,9,0.8636502183811914,73363,538050
2021,10,0.8236748078033096,99586,564786
2021,11,0.850841644462058,81673,547559
2021,12,0.7841035723022006,119150,551885
